,,,,,,,,,,,,,協会一般計,,,,,,,,,,第３条第２項計,,,,,,,,,,船員保険計,,,,,,,,,,共済組合計,,,,,,,,,,健保組合計,,,,,,,,,,,市町村計,,,,,,,,,,,,,,,,国保組合計,,,,,,,,,,被用者保険計,,,国民健康保険計,,,,,,
,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,,一般計,,,,,,,退職者計,,,,,,,,,,,,,,,,,,,,,,市町村計,,,国保組合計,,
,,,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,,70歳未満計,,,70歳以上,,,(2008年４月以降,70歳未満計,,,,70歳以上,,,,70歳未満計,,,70歳以上,,,,一般,現役並み,,一般,現役並み,,,一般,現役並み,,一般,現役並み
,,,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,,,,,75歳未満計,一般,現役並み,は65歳未満),,被保険者,家族,家族,75歳未満計,一般,現役並み,,,,,75歳未満計,一般,現役並み,,,所得者,,,所得者,,,,所得者,,,所得者
,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,,（再掲）,（再掲）,,,所得者,,,（70歳未満）,（未就学者を,（未就学者）,,,所得者,,,（再掲）,（再掲）,,,所得者,,,,,,,,,,,,,
,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,,未就学者,65歳以上,,,,,,,除く70歳未満）,,,,,,,未就学者,65歳以上,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70歳未満,,,,,,,,,,,,,,,70歳未満,,,,,,,,,,,,,,,,
,199310,"124,764,215 ","79,242,534 ","79,242,534 ","39,943,013 ",,"39,299,521 ",,,,,,"35,849,708 ","35,849,708 ","19,077,762 ",,"16,771,946 ",,,,,,"102,653 ","102,653 ","68,850 ",,"33,803 ",,,,,,"333,180 ","333,180 ","124,082 ",,"209,098 ",,,,,,"11,293,744 ","11,293,744 ","5,080,293 ",,"6,213,451 ",,,,,,"31,663,249 ","31,663,249 ","15,592,026 ",,"16,071,223 ",,,,,,"34,826,706 ","30,579,475 ","26,562,882 ","26,562,882 ",,,,,,"4,016,593 ","4,016,593 ","2,746,457 ","1,270,136 ",,,,,"4,247,231 ","4,247,231 ",,,,,,"10,924,651 ",,,,,,,,,,,,
,199311,"124,782,752 ","79,317,509 ","79,317,509 ","39,934,501 ",,"39,383,008 ",,,,,,"35,898,481 ","35,898,481 ","19,084,619 ",,"16,813,862 ",,,,,,"99,532 ","99,532 ","66,668 ",,"32,864 ",,,,,,"329,681 ","329,681 ","122,374 ",,"207,307 ",,,,,,"11,302,092 ","11,302,092 ","5,077,571 ",,"6,224,521 ",,,,,,"31,687,723 ","31,687,723 ","15,583,269 ",,"16,104,454 ",,,,,,"34,811,750 ","30,543,201 ","26,526,813 ","26,526,813 ",,,,,,"4,016,388 ","4,016,388 ","2,748,016 ","1,268,372 ",,,,,"4,268,549 ","4,268,549 ",,,,,,"10,960,173 ",,,,,,,,,,,,
,199312,"124,818,973 ","79,207,160 ","79,207,160 ","39,791,497 ",,"39,415,663 ",,,,,,"35,813,686 ","35,813,686 ","18,997,379 ",,"16,816,307 ",,,,,,"98,997 ","98,997 ","65,844 ",,"33,153 ",,,,,,"326,230 ","326,230 ","120,115 ",,"206,115 ",,,,,,"11,308,347 ","11,308,347 ","5,074,359 ",,"6,233,988 ",,,,,,"31,659,900 ","31,659,900 ","15,533,800 ",,"16,126,100 ",,,,,,"34,790,564 ","30,522,970 ","26,507,097 ","26,507,097 ",,,,,,"4,015,873 ","4,015,873 ","2,748,137 ","1,267,736 ",,,,,"4,267,594 ","4,267,594 ",,,,,,"10,994,918 ",,,,,,,,,,,,
,199401,"124,683,620 ","79,124,554 ","79,124,554 ","39,660,929 ",,"39,463,625 ",,,,,,"35,781,890 ","35,781,890 ","18,946,264 ",,"16,835,626 ",,,,,,"98,109 ","98,109 ","65,200 ",,"32,909 ",,,,,,"324,752 ","324,752 ","120,426 ",,"204,326 ",,,,,,"11,314,202 ","11,314,202 ","5,069,401 ",,"6,244,801 ",,,,,,"31,605,601 ","31,605,601 ","15,459,638 ",,"16,145,963 ",,,,,,"34,831,921 ","30,564,454 ","26,553,246 ","26,553,246 ",,,,,,"4,011,208 ","4,011,208 ","2,745,433 ","1,265,775 ",,,,,"4,267,467 ","4,267,467 ",,,,,,"11,024,662 ",,,,,,,,,,,,
,199402,"124,826,263 ","79,082,502 ","79,082,502 ","39,569,641 ",,"39,512,861 ",,,,,,"35,765,676 ","35,765,676 ","18,909,843 ",,"16,855,833 ",,,,,,"96,177 ","96,177 ","63,517 ",,"32,660 ",,,,,,"324,641 ","324,641 ","120,020 ",,"204,621 ",,,,,,"11,322,545 ","11,322,545 ","5,066,533 ",,"6,256,012 ",,,,,,"31,573,463 ","31,573,463 ","15,409,728 ",,"16,163,735 ",,,,,,"34,794,600 ","30,522,459 ","26,532,328 ","26,532,328 ",,,,,,"3,990,131 ","3,990,131 ","2,732,346 ","1,257,785 ",,,,,"4,272,141 ","4,272,141 ",,,,,,"11,092,639 ",,,,,,,,,,,,
,199403,"124,768,112 ","79,069,900 ","79,069,900 ","39,562,530 ",,"39,507,370 ",,,,,,"35,742,992 ","35,742,992 ","18,904,040 ",,"16,838,952 ",,,,,,"94,170 ","94,170 ","62,165 ",,"32,005 ",,,,,,"325,110 ","325,110 ","120,012 ",,"205,098 ",,,,,,"11,318,543 ","11,318,543 ","5,059,129 ",,"6,259,414 ",,,,,,"31,589,085 ","31,589,085 ","15,417,184 ",,"16,171,901 ",,,,,,"34,735,662 ","30,462,071 ","26,482,835 ","26,482,835 ",,,,,,"3,979,236 ","3,979,236 ","2,726,677 ","1,252,559 ",,,,,"4,273,591 ","4,273,591 ",,,,,,"11,154,066 ",,,,,,,,,,,,
1994,199404,"124,815,147 ","79,470,608 ","79,470,608 ","40,371,147 ",,"39,099,461 ",,,,,,"36,037,263 ","36,037,263 ","19,314,951 ",,"16,722,312 ",,,,,,"91,968 ","91,968 ","62,304 ",,"29,664 ",,,,,,"322,733 ","322,733 ","120,638 ",,"202,095 ",,,,,,"11,252,691 ","11,252,691 ","5,097,093 ",,"6,155,598 ",,,,,,"31,765,953 ","31,765,953 ","15,776,161 ",,"15,989,792 ",,,,,,"34,822,309 ","30,542,279 ","26,472,508 ","26,472,508 ",,,,,,"4,069,771 ","4,069,771 ","2,785,524 ","1,284,247 ",,,,,"4,280,030 ","4,280,030 ",,,,,,"11,218,180 ",,,,,,,,,,,,
,199405,"124,759,144 ","79,441,427 ","79,441,427 ","40,394,734 ",,"39,046,693 ",,,,,,"36,084,115 ","36,084,115 ","19,365,116 ",,"16,718,999 ",,,,,,"91,347 ","91,347 ","61,796 ",,"29,551 ",,,,,,"321,213 ","321,213 ","120,315 ",,"200,898 ",,,,,,"11,241,273 ","11,241,273 ","5,094,762 ",,"6,146,511 ",,,,,,"31,703,479 ","31,703,479 ","15,752,745 ",,"15,950,734 ",,,,,,"34,751,246 ","30,463,136 ","26,384,328 ","26,384,328 ",,,,,,"4,078,808 ","4,078,808 ","2,793,676 ","1,285,132 ",,,,,"4,288,110 ","4,288,110 ",,,,,,"11,236,754 ",,,,,,,,,,,,
,199406,"124,924,409 ","79,472,085 ","79,472,085 ","40,400,446 ",,"39,071,639 ",,,,,,"36,136,423 ","36,136,423 ","19,395,209 ",,"16,741,214 ",,,,,,"89,438 ","89,438 ","60,735 ",,"28,703 ",,,,,,"314,189 ","314,189 ","119,138 ",,"195,051 ",,,,,,"11,239,884 ","11,239,884 ","5,091,756 ",,"6,148,128 ",,,,,,"31,692,151 ","31,692,151 ","15,733,608 ",,"15,958,543 ",,,,,,"34,800,750 ","30,506,656 ","26,413,676 ","26,413,676 ",,,,,,"4,092,980 ","4,092,980 ","2,804,578 ","1,288,402 ",,,,,"4,294,094 ","4,294,094 ",,,,,,"11,260,683 ",,,,,,,,,,,,
,199407,"124,961,218 ","79,431,363 ","79,431,363 ","40,330,885 ",,"39,100,478 ",,,,,,"36,143,065 ","36,143,065 ","19,383,176 ",,"16,759,889 ",,,,,,"88,952 ","88,952 ","60,300 ",,"28,652 ",,,,,,"313,412 ","313,412 ","117,914 ",,"195,498 ",,,,,,"11,234,097 ","11,234,097 ","5,085,478 ",,"6,148,619 ",,,,,,"31,651,837 ","31,651,837 ","15,684,017 ",,"15,967,820 ",,,,,,"34,705,537 ","30,405,438 ","26,302,454 ","26,302,454 ",,,,,,"4,102,984 ","4,102,984 ","2,810,961 ","1,292,023 ",,,,,"4,300,099 ","4,300,099 ",,,,,,"11,281,404 ",,,,,,,,,,,,
,199408,"124,849,165 ","79,373,910 ","79,373,910 ","40,235,010 ",,"39,138,900 ",,,,,,"36,120,848 ","36,120,848 ","19,343,919 ",,"16,776,929 ",,,,,,"89,419 ","89,419 ","60,881 ",,"28,538 ",,,,,,"312,878 ","312,878 ","118,725 ",,"194,153 ",,,,,,"11,237,840 ","11,237,840 ","5,081,310 ",,"6,156,530 ",,,,,,"31,612,925 ","31,612,925 ","15,630,175 ",,"15,982,750 ",,,,,,"34,699,313 ","30,395,055 ","26,297,822 ","26,297,822 ",,,,,,"4,097,233 ","4,097,233 ","2,808,102 ","1,289,131 ",,,,,"4,304,258 ","4,304,258 ",,,,,,"11,308,185 ",,,,,,,,,,,,
,199409,"124,956,789 ","79,350,720 ","79,350,720 ","40,173,717 ",,"39,177,003 ",,,,,,"36,135,585 ","36,135,585 ","19,334,357 ",,"16,801,228 ",,,,,,"88,166 ","88,166 ","59,587 ",,"28,579 ",,,,,,"313,762 ","313,762 ","118,935 ",,"194,827 ",,,,,,"11,235,994 ","11,235,994 ","5,077,730 ",,"6,158,264 ",,,,,,"31,577,213 ","31,577,213 ","15,583,108 ",,"15,994,105 ",,,,,,"34,690,981 ","30,381,972 ","26,294,232 ","26,294,232 ",,,,,,"4,087,740 ","4,087,740 ","2,802,606 ","1,285,134 ",,,,,"4,309,009 ","4,309,009 ",,,,,,"11,347,531 ",,,,,,,,,,,,
,199410,"125,033,542 ","79,245,739 ","79,245,739 ","40,143,249 ",,"39,102,490 ",,,,,,"36,038,260 ","36,038,260 ","19,335,217 ",,"16,703,043 ",,,,,,"87,188 ","87,188 ","58,776 ",,"28,412 ",,,,,,"313,158 ","313,158 ","118,539 ",,"194,619 ",,,,,,"11,240,484 ","11,240,484 ","5,076,332 ",,"6,164,152 ",,,,,,"31,566,649 ","31,566,649 ","15,554,385 ",,"16,012,264 ",,,,,,"34,705,261 ","30,388,229 ","26,305,066 ","26,305,066 ",,,,,,"4,083,163 ","4,083,163 ","2,799,735 ","1,283,428 ",,,,,"4,317,032 ","4,317,032 ",,,,,,"11,389,912 ",,,,,,"8,001,750 ","7,716,154 ",,,"285,596 ",,
,199411,"125,102,296 ","79,080,791 ","79,080,791 ","40,144,418 ",,"38,936,373 ",,,,,,"35,847,464 ","35,847,464 ","19,350,500 ",,"16,496,964 ",,,,,,"86,170 ","86,170 ","58,137 ",,"28,033 ",,,,,,"312,031 ","312,031 ","117,273 ",,"194,758 ",,,,,,"11,247,152 ","11,247,152 ","5,074,089 ",,"6,173,063 ",,,,,,"31,587,974 ","31,587,974 ","15,544,419 ",,"16,043,555 ",,,,,,"34,662,377 ","30,332,397 ","26,251,526 ","26,251,526 ",,,,,,"4,080,871 ","4,080,871 ","2,801,886 ","1,278,985 ",,,,,"4,329,980 ","4,329,980 ",,,,,,"11,429,071 ",,,,,,"8,024,072 ","7,737,228 ",,,"286,844 ",,
,199412,"125,143,636 ","78,993,728 ","78,993,728 ","40,023,545 ",,"38,970,183 ",,,,,,"35,779,375 ","35,779,375 ","19,279,144 ",,"16,500,231 ",,,,,,"85,914 ","85,914 ","57,918 ",,"27,996 ",,,,,,"308,680 ","308,680 ","114,696 ",,"193,984 ",,,,,,"11,254,422 ","11,254,422 ","5,071,195 ",,"6,183,227 ",,,,,,"31,565,337 ","31,565,337 ","15,500,592 ",,"16,064,745 ",,,,,,"34,631,215 ","30,305,601 ","26,227,385 ","26,227,385 ",,,,,,"4,078,216 ","4,078,216 ","2,801,263 ","1,276,953 ",,,,,"4,325,614 ","4,325,614 ",,,,,,"11,467,465 ",,,,,,"8,066,453 ","7,779,432 ",,,"287,021 ",,
,199501,"125,001,018 ","78,893,846 ","78,893,846 ","39,887,417 ",,"39,006,429 ",,,,,,"35,726,087 ","35,726,087 ","19,215,299 ",,"16,510,788 ",,,,,,"85,739 ","85,739 ","57,733 ",,"28,006 ",,,,,,"307,007 ","307,007 ","114,947 ",,"192,060 ",,,,,,"11,259,369 ","11,259,369 ","5,066,330 ",,"6,193,039 ",,,,,,"31,515,644 ","31,515,644 ","15,433,108 ",,"16,082,536 ",,,,,,"34,679,618 ","30,359,553 ","26,287,283 ","26,287,283 ",,,,,,"4,072,270 ","4,072,270 ","2,796,133 ","1,276,137 ",,,,,"4,320,065 ","4,320,065 ",,,,,,"11,493,554 ",,,,,,"8,094,322 ","7,806,981 ",,,"287,341 ",,
,199502,"125,156,370 ","78,826,787 ","78,826,787 ","39,786,493 ",,"39,040,294 ",,,,,,"35,685,918 ","35,685,918 ","19,165,822 ",,"16,520,096 ",,,,,,"85,416 ","85,416 ","57,576 ",,"27,840 ",,,,,,"306,512 ","306,512 ","114,465 ",,"192,047 ",,,,,,"11,263,398 ","11,263,398 ","5,061,584 ",,"6,201,814 ",,,,,,"31,485,543 ","31,485,543 ","15,387,046 ",,"16,098,497 ",,,,,,"34,656,785 ","30,332,001 ","26,279,695 ","26,279,695 ",,,,,,"4,052,306 ","4,052,306 ","2,784,315 ","1,267,991 ",,,,,"4,324,784 ","4,324,784 ",,,,,,"11,555,709 ",,,,,,"8,142,259 ","7,853,673 ",,,"288,586 ",,
,199503,"125,071,934 ","78,827,716 ","78,827,716 ","39,777,715 ",,"39,050,001 ",,,,,,"35,666,725 ","35,666,725 ","19,156,779 ",,"16,509,946 ",,,,,,"84,653 ","84,653 ","57,255 ",,"27,398 ",,,,,,"303,085 ","303,085 ","114,290 ",,"188,795 ",,,,,,"11,263,940 ","11,263,940 ","5,058,671 ",,"6,205,269 ",,,,,,"31,509,313 ","31,509,313 ","15,390,720 ",,"16,118,593 ",,,,,,"34,617,233 ","30,293,132 ","26,241,985 ","26,241,985 ",,,,,,"4,051,147 ","4,051,147 ","2,784,108 ","1,267,039 ",,,,,"4,324,101 ","4,324,101 ",,,,,,"11,611,798 ",,,,,,"8,191,784 ","7,902,637 ",,,"289,147 ",,
1995,199504,"125,102,134 ","79,133,600 ","79,133,600 ","40,498,439 ",,"38,635,161 ",,,,,,"35,945,629 ","35,945,629 ","19,559,756 ",,"16,385,873 ",,,,,,"83,072 ","83,072 ","55,817 ",,"27,255 ",,,,,,"300,494 ","300,494 ","114,252 ",,"186,242 ",,,,,,"11,194,581 ","11,194,581 ","5,084,942 ",,"6,109,639 ",,,,,,"31,609,824 ","31,609,824 ","15,683,672 ",,"15,926,152 ",,,,,,"34,714,994 ","30,389,326 ","26,242,103 ","26,242,103 ",,,,,,"4,147,223 ","4,147,223 ","2,846,712 ","1,300,511 ",,,,,"4,325,668 ","4,325,668 ",,,,,,"11,685,150 ",,,,,,"8,274,325 ","7,985,245 ",,,"289,080 ",,
,199505,"125,058,937 ","79,101,904 ","79,101,904 ","40,525,081 ",,"38,576,823 ",,,,,,"35,984,214 ","35,984,214 ","19,605,775 ",,"16,378,439 ",,,,,,"82,288 ","82,288 ","55,333 ",,"26,955 ",,,,,,"300,443 ","300,443 ","114,648 ",,"185,795 ",,,,,,"11,181,842 ","11,181,842 ","5,084,639 ",,"6,097,203 ",,,,,,"31,553,117 ","31,553,117 ","15,664,686 ",,"15,888,431 ",,,,,,"34,660,894 ","30,331,093 ","26,177,693 ","26,177,693 ",,,,,,"4,153,400 ","4,153,400 ","2,852,964 ","1,300,436 ",,,,,"4,329,801 ","4,329,801 ",,,,,,"11,711,611 ",,,,,,"8,289,573 ","7,999,576 ",,,"289,997 ",,
,199506,"125,177,940 ","79,122,342 ","79,122,342 ","40,529,010 ",,"38,593,332 ",,,,,,"36,037,841 ","36,037,841 ","19,632,724 ",,"16,405,117 ",,,,,,"81,580 ","81,580 ","54,858 ",,"26,722 ",,,,,,"298,668 ","298,668 ","113,661 ",,"185,007 ",,,,,,"11,173,452 ","11,173,452 ","5,081,150 ",,"6,092,302 ",,,,,,"31,530,801 ","31,530,801 ","15,646,617 ",,"15,884,184 ",,,,,,"34,628,885 ","30,295,521 ","26,131,864 ","26,131,864 ",,,,,,"4,163,657 ","4,163,657 ","2,861,242 ","1,302,415 ",,,,,"4,333,364 ","4,333,364 ",,,,,,"11,742,458 ",,,,,,"8,326,323 ","8,035,398 ",,,"290,925 ",,
,199507,"125,197,034 ","79,089,953 ","79,089,953 ","40,470,780 ",,"38,619,173 ",,,,,,"36,040,228 ","36,040,228 ","19,617,218 ",,"16,423,010 ",,,,,,"81,064 ","81,064 ","54,594 ",,"26,470 ",,,,,,"295,093 ","295,093 ","112,496 ",,"182,597 ",,,,,,"11,171,207 ","11,171,207 ","5,075,992 ",,"6,095,215 ",,,,,,"31,502,361 ","31,502,361 ","15,610,480 ",,"15,891,881 ",,,,,,"34,617,229 ","30,281,240 ","26,106,826 ","26,106,826 ",,,,,,"4,174,414 ","4,174,414 ","2,868,499 ","1,305,915 ",,,,,"4,335,989 ","4,335,989 ",,,,,,"11,778,402 ",,,,,,"8,353,044 ","8,061,601 ",,,"291,443 ",,
,199508,"125,082,394 ","79,005,973 ","79,005,973 ","40,361,681 ",,"38,644,292 ",,,,,,"36,004,185 ","36,004,185 ","19,570,045 ",,"16,434,140 ",,,,,,"80,113 ","80,113 ","53,835 ",,"26,278 ",,,,,,"296,151 ","296,151 ","113,063 ",,"183,088 ",,,,,,"11,171,867 ","11,171,867 ","5,070,842 ",,"6,101,025 ",,,,,,"31,453,657 ","31,453,657 ","15,553,896 ",,"15,899,761 ",,,,,,"34,624,647 ","30,285,362 ","26,116,529 ","26,116,529 ",,,,,,"4,168,833 ","4,168,833 ","2,865,938 ","1,302,895 ",,,,,"4,339,285 ","4,339,285 ",,,,,,"11,816,186 ",,,,,,"8,385,629 ","8,093,299 ",,,"292,330 ",,
,199509,"125,171,756 ","78,962,762 ","78,962,762 ","40,287,175 ",,"38,675,587 ",,,,,,"36,003,308 ","36,003,308 ","19,547,768 ",,"16,455,540 ",,,,,,"80,050 ","80,050 ","53,779 ",,"26,271 ",,,,,,"296,842 ","296,842 ","113,443 ",,"183,399 ",,,,,,"11,170,271 ","11,170,271 ","5,066,266 ",,"6,104,005 ",,,,,,"31,412,291 ","31,412,291 ","15,505,919 ",,"15,906,372 ",,,,,,"34,631,951 ","30,292,300 ","26,132,244 ","26,132,244 ",,,,,,"4,160,056 ","4,160,056 ","2,860,779 ","1,299,277 ",,,,,"4,339,651 ","4,339,651 ",,,,,,"11,859,468 ",,,,,,"8,426,892 ","8,133,574 ",,,"293,318 ",,
,199510,"125,570,246 ","78,976,860 ","78,976,860 ","40,258,882 ",,"38,717,978 ",,,,,,"36,035,051 ","36,035,051 ","19,549,284 ",,"16,485,767 ",,,,,,"79,586 ","79,586 ","53,435 ",,"26,151 ",,,,,,"295,987 ","295,987 ","113,081 ",,"182,906 ",,,,,,"11,171,827 ","11,171,827 ","5,064,045 ",,"6,107,782 ",,,,,,"31,394,409 ","31,394,409 ","15,479,037 ",,"15,915,372 ",,,,,,"34,624,174 ","30,282,156 ","26,122,921 ","26,122,921 ",,,,,,"4,159,235 ","4,159,235 ","2,860,972 ","1,298,263 ",,,,,"4,342,018 ","4,342,018 ",,,,,,"11,915,112 ",,,,,,"8,472,238 ","8,177,971 ",,,"294,267 ",,
,199511,"125,615,892 ","79,029,738 ","79,029,738 ","40,253,154 ",,"38,776,584 ",,,,,,"36,082,802 ","36,082,802 ","19,557,394 ",,"16,525,408 ",,,,,,"78,997 ","78,997 ","52,977 ",,"26,020 ",,,,,,"293,429 ","293,429 ","111,440 ",,"181,989 ",,,,,,"11,176,920 ","11,176,920 ","5,061,274 ",,"6,115,646 ",,,,,,"31,397,590 ","31,397,590 ","15,470,069 ",,"15,927,521 ",,,,,,"34,577,158 ","30,223,716 ","26,067,035 ","26,067,035 ",,,,,,"4,156,681 ","4,156,681 ","2,860,744 ","1,295,937 ",,,,,"4,353,442 ","4,353,442 ",,,,,,"11,958,381 ",,,,,,"8,510,250 ","8,214,694 ",,,"295,556 ",,
,199512,"125,649,338 ","78,926,709 ","78,926,709 ","40,140,455 ",,"38,786,254 ",,,,,,"36,013,260 ","36,013,260 ","19,486,611 ",,"16,526,649 ",,,,,,"78,561 ","78,561 ","52,597 ",,"25,964 ",,,,,,"289,945 ","289,945 ","109,627 ",,"180,318 ",,,,,,"11,182,286 ","11,182,286 ","5,058,233 ",,"6,124,053 ",,,,,,"31,362,657 ","31,362,657 ","15,433,387 ",,"15,929,270 ",,,,,,"34,559,749 ","30,208,348 ","26,048,293 ","26,048,293 ",,,,,,"4,160,055 ","4,160,055 ","2,863,909 ","1,296,146 ",,,,,"4,351,401 ","4,351,401 ",,,,,,"11,999,469 ",,,,,,"8,544,085 ","8,248,033 ",,,"296,052 ",,
,199601,"125,503,849 ","78,786,283 ","78,786,283 ","40,014,098 ",,"38,772,185 ",,,,,,"35,970,015 ","35,970,015 ","19,428,786 ",,"16,541,229 ",,,,,,"78,073 ","78,073 ","52,245 ",,"25,828 ",,,,,,"288,732 ","288,732 ","109,685 ",,"179,047 ",,,,,,"11,183,866 ","11,183,866 ","5,052,027 ",,"6,131,839 ",,,,,,"31,265,597 ","31,265,597 ","15,371,355 ",,"15,894,242 ",,,,,,"34,607,147 ","30,258,695 ","26,097,239 ","26,097,239 ",,,,,,"4,161,456 ","4,161,456 ","2,865,564 ","1,295,892 ",,,,,"4,348,452 ","4,348,452 ",,,,,,"12,040,470 ",,,,,,"8,585,148 ","8,288,648 ",,,"296,500 ",,
,199602,"125,635,474 ","78,708,911 ","78,708,911 ","39,935,971 ",,"38,772,940 ",,,,,,"35,956,923 ","35,956,923 ","19,394,586 ",,"16,562,337 ",,,,,,"76,897 ","76,897 ","52,006 ",,"24,891 ",,,,,,"287,597 ","287,597 ","109,163 ",,"178,434 ",,,,,,"11,189,997 ","11,189,997 ","5,048,413 ",,"6,141,584 ",,,,,,"31,197,497 ","31,197,497 ","15,331,803 ",,"15,865,694 ",,,,,,"34,580,372 ","30,231,151 ","26,089,534 ","26,089,534 ",,,,,,"4,141,617 ","4,141,617 ","2,853,499 ","1,288,118 ",,,,,"4,349,221 ","4,349,221 ",,,,,,"12,113,264 ",,,,,,"8,646,066 ","8,348,059 ",,,"298,007 ",,
,199603,"125,590,255 ","78,602,141 ","78,602,141 ","39,887,528 ",,"38,714,613 ",,,,,,"35,899,341 ","35,899,341 ","19,359,665 ",,"16,539,676 ",,,,,,"75,768 ","75,768 ","51,425 ",,"24,343 ",,,,,,"289,417 ","289,417 ","109,068 ",,"180,349 ",,,,,,"11,190,533 ","11,190,533 ","5,048,401 ",,"6,142,132 ",,,,,,"31,147,082 ","31,147,082 ","15,318,969 ",,"15,828,113 ",,,,,,"34,532,119 ","30,183,821 ","26,044,319 ","26,044,319 ",,,,,,"4,139,502 ","4,139,502 ","2,853,251 ","1,286,251 ",,,,,"4,348,298 ","4,348,298 ",,,,,,"12,176,730 ",,,,,,"8,706,476 ","8,407,236 ",,,"299,240 ",,
1996,199604,"125,636,642 ","78,954,218 ","78,954,218 ","40,648,199 ",,"38,306,019 ",,,,,,"36,244,124 ","36,244,124 ","19,807,445 ",,"16,436,679 ",,,,,,"75,276 ","75,276 ","51,134 ",,"24,142 ",,,,,,"284,491 ","284,491 ","109,125 ",,"175,366 ",,,,,,"11,117,351 ","11,117,351 ","5,070,931 ",,"6,046,420 ",,,,,,"31,232,976 ","31,232,976 ","15,609,564 ",,"15,623,412 ",,,,,,"34,649,330 ","30,297,405 ","26,050,104 ","26,050,104 ",,,,,,"4,247,301 ","4,247,301 ","2,923,020 ","1,324,281 ",,,,,"4,351,925 ","4,351,925 ",,,,,,"12,257,405 ",,,,,,"8,784,005 ","8,484,344 ",,,"299,661 ",,
,199605,"125,623,456 ","78,931,704 ","78,931,704 ","40,685,329 ",,"38,246,375 ",,,,,,"36,278,566 ","36,278,566 ","19,858,523 ",,"16,420,043 ",,,,,,"74,566 ","74,566 ","50,456 ",,"24,110 ",,,,,,"282,714 ","282,714 ","109,358 ",,"173,356 ",,,,,,"11,101,525 ","11,101,525 ","5,069,721 ",,"6,031,804 ",,,,,,"31,194,333 ","31,194,333 ","15,597,271 ",,"15,597,062 ",,,,,,"34,572,632 ","30,215,486 ","25,961,146 ","25,961,146 ",,,,,,"4,254,340 ","4,254,340 ","2,930,275 ","1,324,065 ",,,,,"4,357,146 ","4,357,146 ",,,,,,"12,293,811 ",,,,,,"8,830,945 ","8,530,191 ",,,"300,754 ",,
,199606,"125,722,455 ","78,925,842 ","78,925,842 ","40,671,912 ",,"38,253,930 ",,,,,,"36,299,451 ","36,299,451 ","19,869,022 ",,"16,430,429 ",,,,,,"73,637 ","73,637 ","49,743 ",,"23,894 ",,,,,,"281,264 ","281,264 ","108,231 ",,"173,033 ",,,,,,"11,090,514 ","11,090,514 ","5,064,261 ",,"6,026,253 ",,,,,,"31,180,976 ","31,180,976 ","15,580,655 ",,"15,600,321 ",,,,,,"34,548,316 ","30,187,782 ","25,938,275 ","25,938,275 ",,,,,,"4,249,507 ","4,249,507 ","2,930,357 ","1,319,150 ",,,,,"4,360,534 ","4,360,534 ",,,,,,"12,340,134 ",,,,,,"8,860,585 ","8,558,721 ",,,"301,864 ",,
